Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (¦Ìm),EW,QUALIFIED,Current at 2.0 V
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=25,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.48969
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.25883
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED,6.5266
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,EW<=900,QUALIFIED,3.25241
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,3.45586
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,3.44546
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,4.43552
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.52998
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,5.76068
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,5.27783
70<TEMP<=80,1<PRESS<=2,3<FR<=6,AA>25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,PURE PT,0<ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.13916
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,O FREE,0.3<ICA<=0.4,40<PT<=60,0.5<ICC<=0.7,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED,1.30494
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED,1.65573
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.29079
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,O FREE,0.2<ICA<=0.3,40<PT<=60,0.4<ICC<=0.5,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.09787
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.35287
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.75<ICA<1.5,PURE PT,0.7<ICC<=1,0.25<AL<=0.5,CL>0.5,MEMBRANE>175,1000<EW<=1100,DISQUALIFIED,1.45026717
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.11041
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,7.73737
80<TEMP<=90,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,9.12412
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,9.12412
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,DISQUALIFIED,0.66088
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,DISQUALIFIED,0.8509
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,7.12536
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.6742
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.62794
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.50576
90<TEMP<=100,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC=0,0.75<AL<=1,0<CL<=0.25,25<MEMBRANE<=50,EW<=900,QUALIFIED,8.60129
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0.4<ICC<=0.5,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.5633
30<TEMP<=40,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0<ICC<=0.3,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.19523
50<TEMP<=60,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.75282
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,PURE PT,0<ICC<=0.3,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,4.40461
30<TEMP<=40,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.275544107
40<TEMP<=50,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.308503607
50<TEMP<=60,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA=0,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.510260423
30<TEMP<=40,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,0.75<ICA<1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.527991907
40<TEMP<=50,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,0.75<ICA<1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.584585897
50<TEMP<=60,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,0.75<ICA<1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.694591387
30<TEMP<=40,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.356634723
40<TEMP<=50,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.63709928
50<TEMP<=60,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.827698393
30<TEMP<=40,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.157865157
40<TEMP<=50,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.2573874
50<TEMP<=60,1<PRESS<=2,FR>24,5<AA<=25,PURE IR,RU FREE,O FREE,ICA>1.5,PURE PT,ICC>2,0.5<AL<=0.75,0.25<CL<=0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.491552293
70<TEMP<=80,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,0<PT<=20,ICC>2,AL<=0.25,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,0.96801369
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,0<PT<=20,1<ICC<=2,AL<=0.25,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.08207369
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,0<PT<=20,1<ICC<=2,AL<=0.25,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.05949211
70<TEMP<=80,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,0.75<ICA<1.5,0<PT<=20,ICC>2,0.25<AL<=0.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.05672706
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,2.30184
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,0.75<AL<=1,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,3.11051
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,1<AL<=1.5,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,3.80603
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,4.50971
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,5.07837
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,4.1206
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,3.40886
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0<CL<=0.25,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,4.35993
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,4.5222
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,25<MEMBRANE<=50,1000<EW<=1100,QUALIFIED,5.20367
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,0.75<AL<=1,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.00185969
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.05192835
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.10424498
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.0907571
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,0.99184596
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.1<ICA<=0.2,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.42939
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.2<ICA<=0.3,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.42939
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.5<ICA<=0.75,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,0.74643
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,25<MEMBRANE<=50,1000<EW<=1100,DISQUALIFIED,1.44124
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,0.69267
40<TEMP<=50,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.5<ICA<=0.75,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.82808
50<TEMP<=60,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.5<ICA<=0.75,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.18379
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.5<ICA<=0.75,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.53739
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.5<ICA<=0.75,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.63429
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,IR<=25,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,AL<=0.25,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.99042
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.19797
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,IR<=25,RU FREE,O FREE,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,AL<=0.25,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.40572
50<TEMP<=60,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.92737
70<TEMP<=80,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.45851
50<TEMP<=60,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.4<ICA<=0.5,60<PT<100,0.3<ICC<=0.4,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.76563
50<TEMP<=60,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.4<ICA<=0.5,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.81231
60<TEMP<=70,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.4<ICA<=0.5,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.86935
60<TEMP<=70,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.4<ICA<=0.5,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,DISQUALIFIED,1.897
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.5<ICA<=0.75,20<PT<=40,0.5<ICC<=0.7,1<AL<=1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,3.1789
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.5<ICA<=0.75,20<PT<=40,0.5<ICC<=0.7,AL<=0.25,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,QUALIFIED,2.32179
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.5<ICA<=0.75,20<PT<=40,0.5<ICC<=0.7,AL<=0.25,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.6033
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,40<PT<=60,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,3.23087
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,3.23087
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.79298
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.51661
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,40<PT<=60,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.44525
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.3194
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,60<PT<100,0<ICC<=0.3,AL>1.5,CL>0.5,125<MEMBRANE<=175,1000<EW<=1100,QUALIFIED,2.10986
TEMP<=30,PRESS=1,FR>24,AA<=5,25<IR<=50,25<RU<=50,0<O<=15,0.5<ICA<=0.75,0<PT<=20,0.7<ICC<=1,AL>1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,0.05694611
TEMP<=30,PRESS=1,FR>24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.5<ICA<=0.75,0<PT<=20,0.7<ICC<=1,AL>1.5,0.25<CL<=0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,0.04051375
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0.4<ICC<=0.5,1<AL<=1.5,0<CL<=0.25,MEMBRANE<=25,1000<EW<=1100,QUALIFIED,5.12237
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0.4<ICC<=0.5,1<AL<=1.5,0<CL<=0.25,MEMBRANE<=25,1000<EW<=1100,QUALIFIED,5.12237
80<TEMP<=90,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,20<PT<=40,ICC>2,AL>1.5,CL>0.5,50<MEMBRANE<=125,1000<EW<=1100,DISQUALIFIED,1.76903
