Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),Membrane Thickness (¦Ìm),EW,Maximum Stability Current Density (A cm-2),Stability Test Time (h-1),logDR
50<TEMP<=60,PRESS=1,FR>24,5<AA<=25,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,PURE PT,ICC>1.5,AL>1.5,CL>0.5,50<MEM<=125,900<EW<=1000,MCD<=1,ST>2500,0.51851394
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,ICA=0,PURE PT,ICC=0,AL<=0.25,0<CL<=0.25,50<MEM<=125,1000<EW<=1100,1<MCD<=4,ST>2500,0.832508913
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,40<PT<=60,ICC<=0.3,AL>1.5,CL>0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,500<ST<=2500,2.28780173
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.7<ICC<=1.5,1<AL<=1.5,0.25<CL<=0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,2.477121255
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,50<MEM<=125,EW<=900,MCD<=1,ST<=100,2.929418926
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,1000<EW<=1100,1<MCD<=4,ST>2500,0
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,1000<EW<=1100,MCD>4,ST>2500,1.819543936
70<TEMP<=80,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,ICA=0,PURE PT,ICC=0,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,1000<EW<=1100,MCD>4,ST>2500,1.176091259
70<TEMP<=80,PRESS>1,3<FR<=6,AA>25,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,PURE PT,ICC<=0.3,1<AL<=1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,ST>2500,1
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,0<O<=15,0.3<ICA<=0.4,40<PT<=60,0.5<ICC<=0.7,0.75<AL<=1,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,1.43917474
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,1.184123354
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,0.943494516
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,PURE IR,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.4<ICC<=0.5,0.75<AL<=1,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,1.055378331
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,0<O<=15,0.2<ICA<=0.3,40<PT<=60,0.5<ICC<=0.7,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,0.426511261
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,PURE PT,ICC<=0.3,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,2.698970004
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,2.301029996
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,PURE IR,RU FREE,0<O<=15,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,0.243038049
TEMP<=30,PRESS=1,6<FR<=24,5<AA<=25,0<IR<=25,RU FREE,0<O<=15,0.4<ICA<=0.5,PURE PT,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,0.204119983
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0.4<ICC<=0.5,1<AL<=1.5,0<CL<=0.25,MEM<=25,1000<EW<=1100,MCD<=1,ST<=100,2.706444663
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,40<PT<=60,0.4<ICC<=0.5,1<AL<=1.5,0<CL<=0.25,MEM<=25,1000<EW<=1100,MCD<=1,ST<=100,3.119783586
80<TEMP<=90,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,20<PT<=40,ICC>1.5,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,500<ST<=2500,1.633468456
50<TEMP<=60,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,0.5<ICA<=0.75,PURE PT,ICC>1.5,0.75<AL<=1,CL>0.5,50<MEM<=125,1000<EW<=1100,1<MCD<=4,100<ST<=500,1.093421685
50<TEMP<=60,PRESS=1,FR>24,AA>25,PURE IR,RU FREE,0<O<=15,0.5<ICA<=0.75,PURE PT,ICC>1.5,0.75<AL<=1,CL>0.5,50<MEM<=125,1000<EW<=1100,1<MCD<=4,100<ST<=500,1.170261715
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.301029996
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,0<PT<=20,0.4<ICC<=0.5,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,2.361727836
70<TEMP<=80,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,0.1<ICA<=0.2,0<PT<=20,ICC<=0.3,AL<=0.25,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,500<ST<=2500,1.562292864
70<TEMP<=80,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,0.1<ICA<=0.2,0<PT<=20,ICC<=0.3,AL<=0.25,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,ST>2500,1.06069784
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.1<ICA<=0.2,40<PT<=60,ICC<=0.3,AL>1.5,CL>0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,ST<=100,0.77815125
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.1<ICA<=0.2,40<PT<=60,ICC<=0.3,AL>1.5,CL>0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,500<ST<=2500,0.77815125
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.1<ICA<=0.2,40<PT<=60,ICC<=0.3,AL>1.5,CL>0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,500<ST<=2500,1.799340549
30<TEMP<=40,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,15<RU<=25,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,500<ST<=2500,2.681241237
30<TEMP<=40,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,15<RU<=25,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,2.716003344
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,IR FREE,75<RU<=100,15<RU<=25,0.75<ICA<=1.5,PT FREE,0.7<ICC<=1.5,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,1.77815125
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,25<IR<=50,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,900<EW<=1000,1<MCD<=4,ST>2500,0.954242509
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,900<EW<=1000,1<MCD<=4,ST>2500,1.301029996
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,PT FREE,ICC>1.5,1<AL<=1.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,1.919078092
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,1.176091259
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.361727836
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.5<ICC<=0.7,1<AL<=1.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,0.698970004
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.3<ICC<=0.4,1<AL<=1.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.041392685
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,IR FREE,50<RU<=75,15<RU<=25,0.5<ICA<=0.75,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,0.301029996
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,25<IR<=50,RU FREE,15<RU<=25,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,500<ST<=2500,2.880813592
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,IR FREE,75<RU<=100,15<RU<=25,0.2<ICA<=0.3,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,3.568636236
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,IR FREE,0<RU<=25,15<RU<=25,0.2<ICA<=0.3,20<PT<=40,ICC<=0.3,0.5<AL<=0.75,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,4.560667306
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,IR FREE,25<RU<=50,15<RU<=25,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,0.75<AL<=1,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,3.568636236
TEMP<=30,PRESS=1,6<FR<=24,AA<=5,IR FREE,25<RU<=50,15<RU<=25,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,1<AL<=1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,3.230992129
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,IR FREE,75<RU<=100,15<RU<=25,0.75<ICA<=1.5,PT FREE,0.7<ICC<=1.5,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,0.788168371
70<TEMP<=80,PRESS=1,FR>24,AA<=5,50<IR<=75,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,ST<=100,3.301029996
70<TEMP<=80,PRESS=1,FR>24,AA<=5,50<IR<=75,RU FREE,0<O<=15,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,ST<=100,3.698970004
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.954242509
50<TEMP<=60,PRESS>1,6<FR<=24,5<AA<=25,75<IR<=85,0<RU<=25,15<RU<=25,0.75<ICA<=1.5,40<PT<=60,0.3<ICC<=0.4,1<AL<=1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,100<ST<=500,2.698970004
50<TEMP<=60,PRESS=1,6<FR<=24,5<AA<=25,75<IR<=85,0<RU<=25,15<RU<=25,0.75<ICA<=1.5,40<PT<=60,0.3<ICC<=0.4,1<AL<=1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,500<ST<=2500,1.322219295
70<TEMP<=80,PRESS=1,FR<=3,AA<=5,0<IR<=25,RU FREE,0<O<=15,0.4<ICA<=0.5,40<PT<=60,0.4<ICC<=0.5,0.25<AL<=0.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,ST<=100,1.954242509
TEMP<=30,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,100<ST<=500,2.294466226
30<TEMP<=40,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,2.029383778
TEMP<=30,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,100<ST<=500,2.346352974
30<TEMP<=40,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.431363764
40<TEMP<=50,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,0.3<ICC<=0.4,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.591064607
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,ICC<=0.3,1<AL<=1.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,0.698970004
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,ICC<=0.3,1<AL<=1.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.041392685
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,ICC<=0.3,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,1.176091259
70<TEMP<=80,PRESS=1,3<FR<=6,AA<=5,50<IR<=75,0<RU<=25,0<O<=15,0.1<ICA<=0.2,20<PT<=40,ICC<=0.3,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,1<MCD<=4,500<ST<=2500,1.361727836
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.4<ICA<=0.5,20<PT<=40,0.4<ICC<=0.5,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,100<ST<=500,1.983175072
70<TEMP<=80,PRESS=1,FR>24,AA<=5,IR FREE,75<RU<=100,15<RU<=25,0.4<ICA<=0.5,20<PT<=40,0.4<ICC<=0.5,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,ST<=100,4.066549539
70<TEMP<=80,PRESS=1,FR>24,AA<=5,25<IR<=50,25<RU<=50,15<RU<=25,0.4<ICA<=0.5,20<PT<=40,0.4<ICC<=0.5,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,100<ST<=500,2.164947373
70<TEMP<=80,PRESS=1,FR>24,AA<=5,25<IR<=50,25<RU<=50,15<RU<=25,0.4<ICA<=0.5,20<PT<=40,0.4<ICC<=0.5,AL>1.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,100<ST<=500,2.430236353
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,50<IR<=75,RU FREE,15<RU<=25,0.3<ICA<=0.4,20<PT<=40,0.7<ICC<=1.5,0.75<AL<=1,0.25<CL<=0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,2.681241237
70<TEMP<=80,PRESS=1,FR>24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.3<ICA<=0.4,60<PT<100,0.3<ICC<=0.4,AL<=0.25,CL>0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,1.716003344
70<TEMP<=80,PRESS=1,FR>24,5<AA<=25,50<IR<=75,0<RU<=25,0<O<=15,0.4<ICA<=0.5,20<PT<=40,0.3<ICC<=0.4,0.75<AL<=1,0.25<CL<=0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,1.633468456
70<TEMP<=80,PRESS=1,FR<=3,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0.5<ICA<=0.75,20<PT<=40,0.5<ICC<=0.7,AL>1.5,CL>0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,100<ST<=500,3.388278863
70<TEMP<=80,PRESS=1,FR>24,AA<=5,50<IR<=75,RU FREE,15<RU<=25,0.3<ICA<=0.4,60<PT<100,0.3<ICC<=0.4,0.75<AL<=1,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,100<ST<=500,1.698970004
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,0<IR<=25,RU FREE,0<O<=15,0<ICA<=0.1,0<PT<=20,0.3<ICC<=0.4,AL<=0.25,0.25<CL<=0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,2.009984221
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,0<PT<=20,0.3<ICC<=0.4,0.75<AL<=1,0.25<CL<=0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,ST<=100,2.074101721
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,0<PT<=20,0.3<ICC<=0.4,AL<=0.25,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,2.982271233
70<TEMP<=80,PRESS=1,6<FR<=24,5<AA<=25,85<IR<100,RU FREE,0<O<=15,0<ICA<=0.1,0<PT<=20,0.3<ICC<=0.4,AL<=0.25,0.25<CL<=0.5,25<MEM<=50,1000<EW<=1100,MCD<=1,100<ST<=500,2.949390007
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,PURE IR,RU FREE,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,100<ST<=500,0
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,PURE IR,RU FREE,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,0
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,100<ST<=500,1.361727836
70<TEMP<=80,PRESS=1,6<FR<=24,AA<=5,85<IR<100,RU FREE,0<O<=15,0.2<ICA<=0.3,20<PT<=40,0.4<ICC<=0.5,0.25<AL<=0.5,0<CL<=0.25,50<MEM<=125,900<EW<=1000,MCD<=1,500<ST<=2500,1.079181246
50<TEMP<=60,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,60<PT<100,ICC>1.5,0.25<AL<=0.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,100<ST<=500,1.474216264
50<TEMP<=60,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,60<PT<100,ICC>1.5,0.25<AL<=0.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,MCD<=1,100<ST<=500,1.710963119
50<TEMP<=60,PRESS=1,FR>24,AA>25,85<IR<100,RU FREE,0<O<=15,ICA>1.5,60<PT<100,ICC>1.5,0.25<AL<=0.5,0.25<CL<=0.5,125<MEM<=175,1000<EW<=1100,1<MCD<=4,100<ST<=500,0
70<TEMP<=80,PRESS>1,3<FR<=6,AA<=5,50<IR<=75,RU FREE,15<RU<=25,0.2<ICA<=0.3,40<PT<=60,ICC<=0.3,AL>1.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,1<MCD<=4,ST<=100,2.366982976
70<TEMP<=80,PRESS>1,3<FR<=6,AA<=5,50<IR<=75,RU FREE,15<RU<=25,0.2<ICA<=0.3,40<PT<=60,ICC<=0.3,AL>1.5,0<CL<=0.25,25<MEM<=50,1000<EW<=1100,1<MCD<=4,ST<=100,1.716003344
70<TEMP<=80,PRESS=1,FR>24,AA<=5,IR FREE,75<RU<=100,15<RU<=25,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,3.924279286
70<TEMP<=80,PRESS=1,FR>24,AA<=5,IR FREE,50<RU<=75,15<RU<=25,0.3<ICA<=0.4,20<PT<=40,0.3<ICC<=0.4,AL>1.5,CL>0.5,50<MEM<=125,1000<EW<=1100,MCD<=1,ST<=100,3.67720126
70<TEMP<=80,PRESS=1,FR>24,AA>25,25<IR<=50,RU FREE,RU>25,0.5<ICA<=0.75,60<PT<100,0.7<ICC<=1.5,0.5<AL<=0.75,0.25<CL<=0.5,50<MEM<=125,1000<EW<=1100,1<MCD<=4,500<ST<=2500,1.22184875
