Title,Operating Temperature (¡æ),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,Anode Catalyst Type,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Thickness (¦Ìm),EW,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1),Decay Rate (¦ÌV h-1),CL_10,CL_50,CL_100,logDR
Degradation issues of PEM electrolysis MEAs,55,1,40,8,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0.25,100,2.5,3,3,0,90,980,1,1,0,5700,3.3,1,1,1,0.51851394
"NSTF Advances for PEM Electrolysis - the Effect of Alloying on Activity
of NSTF Electrolyzer Catalysts and Performance of NSTF Based PEM
Electrolyzers",80,1,75,50,100,0,0,0,0,nano-structured thin film,0,100,0,0.25,0.25,0,125,1100,2,2,0,5000,6.8,1,1,1,0.832508913
An analysis of degradation phenomena in polymer electrolyte membrane water electrolysis,80,1,25,17.64,85.52915767,0,14.47084233,0,0,IrO2,0.336689866,57.25484701,0.230980813,2.25,0.8,0,175,1100,2,2,0,1009,194,0,0,0,2.28780173
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.73,0,14.27,0,0,Pure Oxide,0.22,60,1,1.282937365,0.3,0,125,1100,1,1,0,60,300,0,0,0,2.477121255
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.73,0,14.27,0,0,Pure Oxide,0.1,60,0.28,1.282937365,0.3,0,115,360,1,1,0,60,850,0,0,0,2.929418926
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,2,2,0,4750,-3,1,1,1,0
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,6,6,0,5273,66,0,0,1,1.819543936
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,"3M nanostructured
thin film (NSTF)",0,100,0,0.5,0.25,0,125,1100,10,10,0,5515,15,0,1,1,1.176091259
Development and performance evaluation of Proton Exchange Membrane (PEM) based hydrogen generator for portable applications,80,1.5,4.166666667,100,85.52915767,0,14.47084233,0,0,IrO2 oxide,0.299736894,100,0.113758053,1.026349892,0.4,0,175,1100,1,1,0,3000,10,1,1,1,1
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,Ir black,0.374007744,46,0.624647855,1,0.184,0,50,1100,0.001,0.001,0,5.8,27.49,0,1,1,1.43917474
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,60,1,Ir/Carbon,0.281176263,46,0.546633737,0.4,0.184,0,50,1100,0.001,0.001,0,9.16,15.28,0,1,1,1.184123354
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,0,60,1,Ir-ND/carbon,0.285472473,46,0.554027878,0.4,0.184,0,50,1100,0.001,0.001,0,13.08,8.78,1,1,1,0.943494516
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,100,0,0,0,0,Ir-ND,0.264651442,46,0.491437084,1,0.184,0,50,1100,0.001,0.001,0,12,11.36,0,1,1,1.055378331
Oxide-supported Ir nanodendrites with high activity and durability for the oxygen evolution reaction in acid PEM water electrolyzers,80,1,1.5,5,40,0,12.7397,0,1,Ir-ND/ATO,0.25658492,46,0.533679577,0.4,0.184,0,50,1100,0.001,0.001,0,15,2.67,1,1,1,0.426511261
Fully printed and integrated electrolyzer cells with additive manufacturing for high-efficiency water splitting,80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0.16460804,100,0.128906863,2.734366353,3,0,125,1100,0.2,0.2,0,120,500,0,0,0,2.698970004
Study of catalyst sprayed membrane under irradiation method to prepare high performance membrane electrode assemblies for solid polymer electrolyte water electrolysis,80,1,50,4,85.52915767,0,14.47084233,0,0,IrO2,0.33,40,0.33,2.56587473,0.5,0,50,1100,1,1,0,105,200,0,0,0,2.301029996
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,100,0,0,0,0,Ir black,0.428571429,100,0.428571429,1.5,1,0,88,1100,0.13720471,0.13720471,0,4,1.75,1,1,1,0.243038049
Investigations on high performance proton exchange membrane water electrolyzer,30,1,10,20,20,0,0,40,1,Ir/TiC,0.428571429,100,0.428571429,1.5,1,0,88,1100,0.22797,0.22797,0,4,1.6,1,1,1,0.204119983
Analysis of Inkjet Printed Catalyst Coated Membranes for Polymer Electrolyte Electrolyzers,80,1,9.1,5,85.73,0,14.27,0,0,"IrO2(99%, Alfa Aesar, A17849)",0.052631579,46.7,0.428571429,1.000691145,0.1,0,25,1100,0.3,0.3,0,24,508.68,0,0,0,2.706444663
Analysis of Inkjet Printed Catalyst Coated Membranes for Polymer Electrolyte Electrolyzers,80,1,9.1,5,85.73,0,14.27,0,0,"IrO2(99%, Alfa Aesar, A17849)",0.052631579,46.7,0.428571429,1.000691145,0.1,0,25,1100,1,1,0,24,1317.6,0,0,0,3.119783586
"Design and Performance Investigation of a Carbon-Free
Pt/Ti Cathode with Low Membrane Degradation Rate for
Proton Exchange Membrane Water Electrolyser",90,1,122.8661049,8,85.52915767,0,14.47084233,0,0,Pure Oxide,0.052631579,40,16.66666667,1.710583153,0.96,0,125,1100,1,1,0,2300,43,0,1,1,1.633468456
Durable Membrane Electrode Assemblies for Proton Exchange Membrane Electrolyzer Systems Operating at High Current Densities,55,1,172.8442295,120,100,0,0,0,0,Ir-black (Umicore),0.635637283,100,4.227462648,1,0.9,0,125,1100,2,2,0,400,12.4,0,1,1,1.093421685
Durable Membrane Electrode Assemblies for Proton Exchange Membrane Electrolyzer Systems Operating at High Current Densities,55,1,172.8442295,120,100,0,0,0,0,Ir-black (Umicore),0.599944605,100,4.727635529,1,0.9,0,125,1100,4,4,0,250,14.8,0,1,1,1.170261715
"Electrochemical Impedance Spectroscopy as a
Diagnostic T ool in Polymer Electrolyte
Membrane Electrolysis",80,1,1,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx,0.176470588,40,0.388888889,0.4,0.1,0,90,980,3,3,0,1000,20,0,1,1,1.301029996
"Membrane electrode assemblies with low noble
metal loadings for hydrogen production from solid
polymer electrolyte water electrolysis",80,1,50,4,85.52915767,0,14.47084233,0,0,Pure Oxide,0.052631579,20,0.428571429,0.38,0.2,0,50,1100,1,1,0,122,230,0,0,0,2.361727836
"Microscopic insights on the degradation of a PEM water electrolyzer with
ultra-low catalyst loading",80,1,27.6,86,85.52915767,0,14.47084233,0,0,IrOx,0.15,20,0.15,0.08,0.3,0,175,1100,1.8,1.8,0,2500,36.5,0,1,1,1.562292864
"Microscopic insights on the degradation of a PEM water electrolyzer with
ultra-low catalyst loading",80,1,27.6,86,85.52915767,0,14.47084233,0,0,IrOx,0.15,20,0.15,0.08,0.3,0,175,1100,1.8,1.8,0,4500,11.5,0,1,1,1.06069784
"The stability challenge on the pathway to high-current-density
polymer electrolyte membrane water electrolyzers",80,1,25,17.64,85.52915767,0,14.47084233,0,0,"Iridium oxide (Alfa Aesar, Premion, 99.99%)",0.176470588,60,0.176470588,1.881641469,0.8,0,175,1100,2,2,0,74,6,1,1,1,0.77815125
"The stability challenge on the pathway to high-current-density
polymer electrolyte membrane water electrolyzers",80,1,25,17.64,85.52915767,0,14.47084233,0,0,"Iridium oxide (Alfa Aesar, Premion, 99.99%)",0.176470588,60,0.176470588,1.881641469,0.8,0,175,1100,2.5,2.5,0,1026,6,1,1,1,0.77815125
"The stability challenge on the pathway to high-current-density
polymer electrolyte membrane water electrolyzers",80,1,25,17.64,85.52915767,0,14.47084233,0,0,"Iridium oxide (Alfa Aesar, Premion, 99.99%)",0.176470588,60,0.176470588,1.881641469,0.8,0,175,1100,3,3,0,1936,63,0,0,1,1.799340549
"A novel catalyst coated membrane embedded with
Cs-substituted phosphotungstates for proton
exchange membrane water electrolysis",35,1,3,1,38.48805,0,17.7521,0,1,IrO2/Sb-SnO2 oxide (in mass ratio of 1:1),0.111111111,40,0.333,0.288660375,0.2,0,50,1100,0.3,0.3,0,570,480,0,0,0,2.681241237
"Nanosphere-structured composites consisting of
Cs-substituted phosphotungstates and antimony
doped tin oxides as catalyst supports for proton
exchange membrane liquid water electrolysis",35,1,3,1,42.76457883,0,17.851,0,1,IrO2/Cs1.5HPAe(Sb-SnO2),0.33,40,0.33,0.320734341,0.2,0,50,1100,0.3,0.3,0,364,520,0,0,0,2.716003344
"Boron-Doped Carbon nanoparticles supported palladium as an
efficient hydrogen evolution electrode in PEM water electrolysis",80,1,60,25,0,75.66401816,24.33598184,0,0,Pure Oxide,1.153445715,0,0.960814465,2.269920545,0.7,0,125,1100,1,1,0,500,60,0,0,1,1.77815125
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",80,1,4,5,44.62645268,10.06087438,5.312672939,0,0,recombination catalyst (RC),0.176470588,40,0.388888889,0.4,0.1,0,50,980,4,4,0,3500,9,1,1,1,0.954242509
"Durability of a recombination catalyst-based membrane-electrode assembly 
for electrolysis operation at high current density",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.176470588,40,0.388888889,0.3,0.1,0,50,980,4,4,0,3500,20,0,1,1,1.301029996
"Fabrication of a Robust PEM Water Electrolyzer Based on 
Non-Noble Metal Cathode Catalyst: [Mo3S13]2? Clusters 
Anchored to N-Doped Carbon Nanotubes",80,1,40,1,85.52915767,0,14.47084233,0,0,Pure Oxide,0.25,0,2,1.5,0,0,50,1100,1,1,0,100,83,0,0,1,1.919078092
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.188042222,30,0.329494887,0.34,0.1,0,90,1000,1,1,0,1000,15,0,1,1,1.176091259
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.181193633,30,0.32487551,0.34,0.1,0,90,1000,3,3,0,1000,23,0,1,1,1.361727836
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.216438027,30,0.508048208,1.27,0.1,0,90,1000,1,1,0,1000,5,1,1,1,0.698970004
New insights into the stability of a high performance nanostructured catalyst for sustainable water electrolysis,80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.201325636,30,0.389774359,1.27,0.1,0,90,1000,3,3,0,1000,11,0,1,1,1.041392685
Preparation of RuxPd1-xO2electrocatalysts for the oxygen evolution reaction (OER) in PEM water electrolysis,80,1,60,25,0,60.3,23.9,0,0,Pure Oxide,0.533299699,30,0.352105292,3,0.7,0,125,1100,1,1,0,100,2,1,1,1,0.301029996
An oxygen evolution catalyst on an antimony doped tin oxide nanowire structured support for proton exchange membrane liquid water electrolysis,80,1,3,1,38.48805,0,17.7521,0,1,IrO2/Sb¨CSnO2 NP (mass ratio of 1 : 1),0.160804695,40,0.317185376,0.288660375,0.2,0,50,1100,0.45,0.45,0,646,760,0,0,0,2.880813592
"Highly stable RuO2/SnO2 nanocomposites as anode
electrocatalysts in a PEM water electrolysis cell",30,1,7,4,0,75.66401816,24.33598184,0,0,Pure RuO2,0.265524335,40,0.380275882,2.269920545,0.6,0,125,1100,0.25,0.25,0,108,3703.703704,0,0,0,3.568636236
"Highly stable RuO2/SnO2 nanocomposites as anode
electrocatalysts in a PEM water electrolysis cell",30,1,7,4,0,23.83808219,22.38354235,0,1,RuO2/SnO2(mass ratios 0.45:1),0.289822109,40,0.285806842,0.715142466,0.6,0,125,1100,0.25,0.25,0,11,36363.63636,0,0,0,4.560667306
"Highly stable RuO2/SnO2 nanocomposites as anode
electrocatalysts in a PEM water electrolysis cell",30,1,7,4,0,30.35461078,22.62905869,0,1,RuO2/SnO2(mass ratios 0.67:1),0.279346868,40,0.400496475,0.910638323,0.6,0,125,1100,0.25,0.25,0,108,3703.703704,0,0,0,3.568636236
"Highly stable RuO2/SnO2 nanocomposites as anode
electrocatalysts in a PEM water electrolysis cell",30,1,7,4,0,39.10927536,22.95889891,0,1,RuO2/SnO2(mass ratios 1.07:1),0.299340305,40,0.472441305,1.173278261,0.6,0,125,1100,0.25,0.25,0,235,1702.12766,0,0,0,3.230992129
"Phosphorus-doped carbon nanoparticles supported palladium
electrocatalyst for the hydrogen evolution reaction (HER) in PEM
water electrolysis",80,1,60,25,0,83.55,16.45,0,0,RuO2,1.166449873,0,0.930610563,2.5065,0.7,0,125,1100,1,1,0,500,6.14,1,1,1,0.788168371
"Investigation of V-doped TiO2as an anodic catalyst
support for SPE water electrolysis",80,1,40,3.645,66.86367932,0,11.13280261,0,1,IrO2/TiV-30,0.33,40,0.33,2.5,0.5,0,175,1100,1,1,0,50,2000,0,0,0,3.301029996
"Investigation of V-doped TiO2as an anodic catalyst
support for SPE water electrolysis",80,1,40,3.645,6686.367932,0,1113.280261,0,1,IrO2/TiV-30,0.33,40,0.33,2.5,0.5,0,175,1100,1,1,0,10,5000,0,0,0,3.698970004
Analysis of performance degradation during steady-state and load-thermal cycles of proton exchange membrane water electrolysis cells,80,1,1,5,74.37742114,16.76812396,8.854454898,0,0,Pure Oxide,0.2,40,0.39,0.34,0.1,0,90,980,3,3,0,1000,90,0,0,1,1.954242509
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,10,22.36134449,25,76.72992366,2.378541997,15.30031216,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,1.186626985,0.4,0,175,1100,1,1,12,140,500,0,0,0,2.698970004
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,1,22.36134449,25,76.72992366,2.378541997,15.30031216,0,1,Ru0.85Ir0.05Ti0.1O2,1.425,46.1,0.37,1.186626985,0.4,0,175,1100,1,1,0,760,21,0,1,1,1.322219295
A highly efficient and durable carbon nanotube-based anode electrocatalyst for water electrolyzers,80,1,1,1,19.1,0,3.231565657,77.66843434,1,MWNT/PBI/Ir,0.43,46,0.43,0.5,0.5,0,175,1100,0.3,0.3,0,100,90,0,0,1,1.954242509
"Chemically stabilised extruded and recast short side chain Aquivion? proton
exchange membranes for high current density operation in water electrolysis",25,1,5.629181396,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx 0.7:0.3,0.176,30,0.333,0.36458218,0.1,0,90,980,1,1,0,254,197,0,0,0,2.294466226
"Chemically stabilised extruded and recast short side chain Aquivion? proton
exchange membranes for high current density operation in water electrolysis",40,1,5.629181396,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx 0.7:0.3,0.176,30,0.333,0.36458218,0.1,0,90,980,3,3,0,1535,107,0,0,0,2.029383778
"Chemically stabilised extruded and recast short side chain Aquivion? proton
exchange membranes for high current density operation in water electrolysis",25,1,5.629181396,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx 0.7:0.3,0.176,30,0.333,0.36458218,0.1,0,90,980,1,1,0,223,222,0,0,0,2.346352974
"Chemically stabilised extruded and recast short side chain Aquivion? proton
exchange membranes for high current density operation in water electrolysis",40,1,5.629181396,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx 0.7:0.3,0.176,30,0.333,0.36458218,0.1,0,90,980,3,3,0,1000,27,0,1,1,1.431363764
"Chemically stabilised extruded and recast short side chain Aquivion? proton
exchange membranes for high current density operation in water electrolysis",50,1,5.629181396,5,74.37742114,16.76812396,8.854454898,0,0,IrRuOx 0.7:0.3,0.176,30,0.333,0.36458218,0.1,0,90,980,4,4,0,1000,39,0,1,1,1.591064607
"Enhanced performance and durability of low catalyst loading PEM water
electrolyser based on a short-side chain perfluorosulfonic ionomer",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,IrRuO2,0.2,30,0.3,1.367183177,0.1,0,90,1000,1,1,0,1000,5,1,1,1,0.698970004
"Enhanced performance and durability of low catalyst loading PEM water
electrolyser based on a short-side chain perfluorosulfonic ionomer",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,IrRuO2,0.2,30,0.3,1.367183177,0.1,0,90,1000,3,3,0,1000,11,0,1,1,1.041392685
"Enhanced performance and durability of low catalyst loading PEM water
electrolyser based on a short-side chain perfluorosulfonic ionomer",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,IrRuO2,0.2,30,0.3,0.36458218,0.1,0,90,1000,1,1,0,1000,15,0,1,1,1.176091259
"Enhanced performance and durability of low catalyst loading PEM water
electrolyser based on a short-side chain perfluorosulfonic ionomer",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,IrRuO2,0.2,30,0.3,0.36458218,0.1,0,90,1000,3,3,0,1000,23,0,1,1,1.361727836
"Self-assembled RuO2@IrOx core-shell nanocomposite as high efficient anode
catalyst for PEM water electrolyzer",80,1,40,3.645,85.52915767,0,14.47084233,0,0,IrO2,0.402491773,40,0.457914718,2.138228942,0.5,0,175,1100,1,1,0,300,96.2,0,0,1,1.983175072
"Self-assembled RuO2@IrOx core-shell nanocomposite as high efficient anode
catalyst for PEM water electrolyzer",80,1,40,3.645,0,75.66401816,24.33598184,0,0,RuO2,0.419722608,40,0.450187228,1.891600454,0.5,0,175,1100,1,1,0,20,11656,0,0,0,4.066549539
"Self-assembled RuO2@IrOx core-shell nanocomposite as high efficient anode
catalyst for PEM water electrolyzer",80,1,40,3.645,34.61,48.47,16.92,0,0,RuO2/IrO2,0.409308137,40,0.430455139,2.077,0.5,0,175,1100,1,1,0,300,146.2,0,0,0,2.164947373
"Self-assembled RuO2@IrOx core-shell nanocomposite as high efficient anode
catalyst for PEM water electrolyzer",80,1,40,3.645,34.61,48.47,16.92,0,0,RuO2/IrO2,0.409308137,40,0.430455139,2.077,0.5,0,175,1100,3,3,0,300,269.3,0,0,0,2.430236353
An effective oxygen electrode based on Ir0.6Sn0.4O2 for PEM water electrolyzers,80,1,12.94077278,5,59,0,16,0,1,Ir 0.6 Sn 0.4 O 2,0.4,40,1.5,0.885,0.4,0,125,1100,1,1,0,100,480,0,0,0,2.681241237
"A cost-effective nanoporous ultrathin film electrode based on
nanoporous gold/IrO2 composite for proton exchange membrane
water electrolysis",80,1,32.01683061,4,85.52915767,0,14.47084233,0,1,IrO2 on porous Au,0.3333,70,0.3333,0.063377106,0.7,0,50,1100,0.25,0.25,0,300,52,0,0,1,1.716003344
"Highly active anode electrocatalysts derived from electrochemical leaching
of Ru from metallic Ir0.7Ru0.3 for proton exchange membrane electrolyzers",80,1,40.84253457,25,74.37742114,16.76812396,8.854454898,0,0,Ir0.7Ru0.3Ox,0.43,40,0.33,0.911455451,0.4,0,50,1100,1,1,0,400,43,0,1,1,1.633468456
"Ultrathin IrO2 Nanoneedles for Electrochemical
Water Oxidation",80,1,0.1,6.76,85.52915767,0,14.47084233,0,0,IrO2,0.505126236,30,0.683573239,3.421166307,1.8,0,175,1100,2,2,0,200,2445,0,0,0,3.388278863
Highly effective IrxSn1?xO2 electrocatalysts for oxygen evolution reaction in the solid polymer electrolyte water electrolyser,80,1,50,5,52.87553066,0,16.94728547,0,1,Ir0.52Sn0.48O2,0.33,70,0.33,0.79313296,0.57,0,125,1100,0.5,0.5,0,500,50,0,1,1,1.698970004
High performance and cost-effective supported IrOx catalyst for proton exchange membrane water electrolysis,80,1,23.18781906,8,17.14285714,0,13.09596686,0,1,IrOx/W-TiO2,0.052631579,20,0.331245219,0.019885714,0.307702064,0,50,1100,1,1,0,100,102.3255814,0,0,0,2.009984221
High performance and cost-effective supported IrOx catalyst for proton exchange membrane water electrolysis,80,1,23.18781906,8,85.52915767,0,14.47084233,0,0,Commercial IrO2,0.052631579,20,0.331245219,0.940820734,0.309063001,0,50,1100,1,1,0,100,118.6046512,0,0,0,2.074101721
High performance and cost-effective supported IrOx catalyst for proton exchange membrane water electrolysis,80,1,23.18781906,8,85.52915767,0,14.47084233,0,0,Unsupported IrOx,0.052631579,20,0.331245219,0.179611231,0.245296397,0,50,1100,1,1,0,430,960,0,0,0,2.982271233
High performance and cost-effective supported IrOx catalyst for proton exchange membrane water electrolysis,80,1,23.18781906,8,85.52915767,0,14.47084233,0,0,Commercial IrO2,0.052631579,20,0.331245219,0.230928726,0.31848447,0,50,1100,1,1,0,430,890,0,0,0,2.949390007
The influence of iridium chemical oxidation state on the performance and durability of oxygen evolution catalysts in PEM electrolysis,80,1,9.884736133,5,100,0,0,0,0,Ir Black,0.25,40,0.5,0.4,0.1,0,90,980,1,1,0,200,-72,1,1,1,0
The influence of iridium chemical oxidation state on the performance and durability of oxygen evolution catalysts in PEM electrolysis,80,1,9.884736133,5,100,0,0,0,0,Ir Black,0.25,40,0.5,0.4,0.1,0,90,980,1,1,0,1000,-26,1,1,1,0
The influence of iridium chemical oxidation state on the performance and durability of oxygen evolution catalysts in PEM electrolysis,80,1,9.884736133,5,85.52915767,0,14.47084233,0,0,Ir Black,0.25,40,0.5,0.4,0.1,0,90,980,1,1,0,200,23,0,1,1,1.361727836
The influence of iridium chemical oxidation state on the performance and durability of oxygen evolution catalysts in PEM electrolysis,80,1,9.884736133,5,85.52915767,0,14.47084233,0,0,Ir Black,0.25,40,0.5,0.4,0.1,0,90,980,1,1,0,1000,12,0,1,1,1.079181246
Investigating low and high load cycling tests as accelerated stress tests for proton exchange membrane water electrolysis,60,1,270,45.54812639,85.52915767,0,14.47084233,0,0,IrO2,2.073970786,61.07115408,1.791124577,0.256587473,0.5,0,175,1100,1,1,0,360,29.8,0,1,1,1.474216264
Investigating low and high load cycling tests as accelerated stress tests for proton exchange membrane water electrolysis,60,1,270,45.54812639,85.52915767,0,14.47084233,0,0,IrO2,2.073970786,61.07115408,1.791124577,0.256587473,0.5,0,175,1100,0,0.5,0.33,360,51.4,0,0,1,1.710963119
Investigating low and high load cycling tests as accelerated stress tests for proton exchange membrane water electrolysis,60,1,270,45.54812639,85.52915767,0,14.47084233,0,0,IrO2,2.073970786,61.07115408,1.791124577,0.256587473,0.5,0,175,1100,1.2,2,0.33,360,-55.8,1,1,1,0
Impact of Intermittent Operation on Lifetime and Performance of a PEM Water Electrolyzer,80,10,5,5,75,0,17.61955664,0,1,IrO2/TiO2,0.25,45.8,0.25,1.75,0.2,0,50,1100,0,3,0.5,100,232.8,0,0,0,2.366982976
Impact of Intermittent Operation on Lifetime and Performance of a PEM Water Electrolyzer,80,10,5,5,75,0,17.61955664,0,1,IrO2/TiO2,0.25,45.8,0.25,1.75,0.2,0,50,1100,3,3,0,100,52,0,0,1,1.716003344
RuxNb1?xO2 catalyst for the oxygen evolution reaction in proton exchange membrane water electrolysers,80,1,37.56499288,4,0,75.66401816,24.33598184,0,0,RuO2,0.33,40,0.33,1.930846742,0.549794743,0,125,1100,1,1,0,22.25,8400,0,0,0,3.924279286
RuxNb1?xO2 catalyst for the oxygen evolution reaction in proton exchange membrane water electrolysers,80,1,37.56499288,4,0,61.27392967,24.63458319,0,0,Ru0.8Nb0.2O2,0.33,40,0.33,2.081839933,0.625464892,0,125,1100,1,1,0,22.25,4755.555556,0,0,0,3.67720126
"Highly Active, Durable Dispersed Iridium Nanocatalysts for PEM Water Electrolyzer",80,1,109.4797653,50,32.57142857,0,30.26987009,0,1,Ir38%/WxTiO2,0.709577908,61.15418245,1.292839834,0.651428571,0.4,0,125,1100,1.5,1.5,0,1200,16.66666667,0,1,1,1.22184875
